timestamp,open,high,low,close,volume,spread
2011-11-02 00:00:00,1719.79,1744.2,1714.3,1738.82,52311,0
2011-11-03 00:00:00,1736.95,1767.8,1722.6,1763.05,42013,0
2011-11-04 00:00:00,1764.4,1764.4,1748.75,1754.7,40379,0
2011-11-07 00:00:00,1753.94,1798.3,1753.01,1795.11,47625,0
2011-11-08 00:00:00,1793.99,1802.9,1776.9,1785.69,41195,0
2011-11-09 00:00:00,1785.5,1799.6,1763.7,1768.3,51194,0
2011-11-10 00:00:00,1768.95,1775.3,1735.2,1757.83,62600,0
2011-11-11 00:00:00,1758.32,1789.1,1744.05,1788.05,54430,0
2011-11-14 00:00:00,1788.44,1796.1,1773.49,1780.03,56378,0
2011-11-15 00:00:00,1779.76,1785.7,1759.92,1780.9,47725,0
2011-11-16 00:00:00,1780.61,1783.5,1752.95,1762.24,54979,0
2011-11-17 00:00:00,1762.12,1766.82,1710.32,1719.59,81896,0
2011-11-18 00:00:00,1720.4,1737.5,1710.7,1723.67,55219,0
2011-11-21 00:00:00,1723.03,1726.42,1666.3,1676.88,56401,0
2011-11-22 00:00:00,1677.4,1705.47,1667.45,1698.95,63913,0
2011-11-23 00:00:00,1698.6,1709.9,1677.09,1692.09,58093,0
2011-11-24 00:00:00,1692.45,1701.8,1687.8,1694.83,25927,0
2011-11-25 00:00:00,1693.6,1697.9,1671.75,1679.6,33624,0
2011-11-28 00:00:00,1680.35,1720.5,1680.35,1710.84,55990,0
2011-11-29 00:00:00,1711.37,1720.0,1703.57,1715.35,55208,0
2011-11-30 00:00:00,1715.55,1750.0,1700.54,1749.03,67128,0
2011-12-01 00:00:00,1748.47,1754.0,1733.3,1745.13,42303,0
2011-12-02 00:00:00,1744.7,1763.1,1737.8,1746.1,44741,0
2011-12-05 00:00:00,1746.98,1754.8,1717.6,1721.7,58327,0
2011-12-06 00:00:00,1722.5,1732.9,1701.88,1728.96,61642,0
2011-12-07 00:00:00,1729.1,1742.58,1720.03,1742.45,62813,0
2011-12-08 00:00:00,1742.74,1756.14,1703.95,1707.05,70735,0
2011-12-09 00:00:00,1704.96,1723.95,1703.32,1711.08,73106,0
2011-12-12 00:00:00,1712.65,1714.68,1657.03,1666.08,71979,0
2011-12-13 00:00:00,1664.32,1677.97,1622.11,1631.33,85439,0
2011-12-14 00:00:00,1629.7,1641.26,1563.57,1576.04,102101,0
2011-12-15 00:00:00,1575.95,1593.88,1560.13,1570.32,100187,0
2011-12-16 00:00:00,1570.78,1601.07,1570.64,1598.59,78132,0
2011-12-19 00:00:00,1600.92,1608.46,1583.15,1594.25,73857,0
2011-12-20 00:00:00,1593.5,1618.4,1592.1,1614.82,55655,0
2011-12-21 00:00:00,1614.71,1641.66,1605.74,1614.78,67670,0
2011-12-22 00:00:00,1615.1,1616.69,1597.31,1605.71,58550,0
2011-12-23 00:00:00,1605.71,1613.71,1602.34,1606.7,34965,0
2011-12-27 00:00:00,1607.28,1607.28,1589.43,1592.65,35470,0
2011-12-28 00:00:00,1592.35,1592.87,1549.44,1556.25,58256,0
2011-12-29 00:00:00,1556.4,1561.09,1522.61,1545.03,72162,0
2011-12-30 00:00:00,1545.0,1581.33,1545.0,1564.49,54152,0
2012-01-03 00:00:00,1569.23,1607.32,1566.75,1603.55,59070,0
2012-01-04 00:00:00,1603.7,1618.46,1592.61,1611.4,70641,0
2012-01-05 00:00:00,1612.82,1625.65,1596.61,1621.1,74866,0
2012-01-06 00:00:00,1621.3,1631.04,1608.38,1616.49,71753,0
2012-01-09 00:00:00,1619.08,1619.61,1606.41,1610.87,18066,0
2012-01-10 00:00:00,1611.08,1640.41,1608.64,1632.32,62799,0
2012-01-11 00:00:00,1632.52,1647.29,1630.33,1643.12,65668,0
2012-01-12 00:00:00,1642.34,1662.12,1640.3,1649.87,60759,0
2012-01-13 00:00:00,1649.62,1649.68,1625.46,1638.27,67018,0
2012-01-16 00:00:00,1635.18,1647.06,1631.45,1643.92,36676,0
2012-01-17 00:00:00,1642.41,1667.65,1641.91,1651.82,61805,0
2012-01-18 00:00:00,1652.4,1662.56,1642.84,1659.47,73756,0
2012-01-19 00:00:00,1660.48,1670.2,1649.01,1656.4,64510,0
2012-01-20 00:00:00,1656.82,1666.57,1644.75,1666.2,60071,0
2012-01-23 00:00:00,1664.66,1681.29,1662.4,1676.0,58902,0
2012-01-24 00:00:00,1676.23,1679.4,1661.22,1666.0,58247,0
2012-01-25 00:00:00,1665.97,1712.83,1648.83,1710.35,65327,0
2012-01-26 00:00:00,1708.0,1730.39,1702.81,1720.25,60103,0
2012-01-27 00:00:00,1720.56,1739.32,1714.2,1738.93,61628,0
2012-01-30 00:00:00,1736.46,1739.72,1716.13,1730.7,69142,0
2012-01-31 00:00:00,1731.4,1747.19,1725.95,1736.9,77072,0
2012-02-01 00:00:00,1736.85,1750.66,1732.68,1743.23,80809,0
2012-02-02 00:00:00,1744.68,1760.93,1741.03,1758.35,71094,0
2012-02-03 00:00:00,1758.99,1762.97,1723.44,1725.79,63282,0
2012-02-06 00:00:00,1728.1,1737.89,1711.55,1719.6,63064,0
2012-02-07 00:00:00,1719.86,1749.66,1709.97,1744.45,66154,0
2012-02-08 00:00:00,1744.6,1751.89,1724.21,1732.45,62939,0
2012-02-09 00:00:00,1732.01,1752.33,1725.58,1728.95,69692,0
2012-02-10 00:00:00,1731.63,1734.51,1704.34,1721.57,64990,0
2012-02-13 00:00:00,1725.0,1733.13,1715.91,1721.55,56756,0
2012-02-14 00:00:00,1721.4,1727.43,1711.9,1719.83,68615,0
2012-02-15 00:00:00,1720.96,1737.12,1718.34,1727.81,60442,0
2012-02-16 00:00:00,1727.75,1729.58,1705.05,1727.68,63515,0
2012-02-17 00:00:00,1727.63,1735.57,1716.98,1723.14,50642,0
2012-02-20 00:00:00,1726.75,1736.71,1726.03,1734.3,31705,0
2012-02-21 00:00:00,1734.6,1759.64,1730.72,1759.36,59148,0
2012-02-22 00:00:00,1759.42,1781.57,1749.12,1775.89,56878,0
2012-02-23 00:00:00,1776.1,1787.13,1771.96,1779.27,54500,0
2012-02-24 00:00:00,1779.08,1782.63,1770.18,1771.95,51492,0
2012-02-27 00:00:00,1774.9,1779.19,1761.35,1767.66,56985,0
2012-02-28 00:00:00,1767.98,1789.82,1765.59,1783.78,58222,0
